participant_id,condition,age,gender,education,aut_fluency,trust_item1,trust_item2,trust_item3,trust_item4,trust_item5,trust_mean,timestamp
1000,Control,35,Male,Some College,7,4,6,5,4,5,4.8,2024-03-02 19:24:00
1001,Control,27,Female,Some College,7,3,3,3,3,2,2.8,2024-03-03 00:29:00
1002,Control,43,Female,Some College,7,4,4,5,4,4,4.2,2024-03-01 17:37:00
1003,Control,25,Female,Some College,11,5,6,4,5,6,5.2,2024-03-02 07:28:00
1004,Control,37,Female,Bachelor's Degree,8,4,4,4,4,5,4.2,2024-03-02 08:55:00
1005,Control,34,Female,Graduate Degree,4,5,5,5,4,4,4.6,2024-03-02 07:21:00
1006,Control,34,Female,Bachelor's Degree,9,3,4,5,4,5,4.2,2024-03-01 20:20:00
1007,Control,34,Male,Some College,6,6,3,5,5,5,4.8,2024-03-02 18:08:00
1008,Control,31,Male,Bachelor's Degree,4,6,6,6,7,6,6.2,2024-03-02 09:51:00
1009,Control,26,Male,Some College,9,4,4,3,4,4,3.8,2024-03-01 16:04:00
1010,Control,31,Female,Bachelor's Degree,7,4,4,5,6,5,4.8,2024-03-02 17:48:00
1011,Control,33,Male,Bachelor's Degree,7,3,3,5,3,3,3.4,2024-03-02 13:32:00
1012,Control,30,Non-binary,Bachelor's Degree,5,6,6,5,7,5,5.8,2024-03-01 21:57:00
1013,Control,36,Female,Graduate Degree,12,4,4,4,3,4,3.8,2024-03-02 20:45:00
1014,Control,21,Male,Some College,8,4,5,3,4,5,4.2,2024-03-02 15:26:00
1015,Control,18,Female,High School,8,6,4,4,5,5,4.8,2024-03-01 12:27:00
1016,Control,33,Male,Bachelor's Degree,8,5,6,5,4,6,5.2,2024-03-02 10:37:00
1017,Control,22,Female,Graduate Degree,9,6,6,7,5,5,5.8,2024-03-02 12:39:00
1018,Control,23,Male,Some College,6,6,5,6,5,7,5.8,2024-03-02 21:53:00
1019,Control,36,Female,Bachelor's Degree,6,4,4,4,4,4,4.0,2024-03-01 09:21:00
1020,Control,23,Male,Bachelor's Degree,4,4,5,5,4,5,4.6,2024-03-01 11:33:00
1021,Control,31,Male,Graduate Degree,5,7,5,5,6,6,5.8,2024-03-02 17:42:00
1022,Control,35,Male,Some College,15,6,5,6,5,5,5.4,2024-03-01 12:38:00
1023,Control,26,Female,Some College,8,4,5,6,5,5,5.0,2024-03-01 20:08:00
1024,Control,24,Male,Bachelor's Degree,9,4,6,5,3,5,4.6,2024-03-02 10:18:00
1025,Control,25,Female,Bachelor's Degree,9,6,4,5,5,5,5.0,2024-03-02 22:57:00
1026,Control,46,Male,Bachelor's Degree,8,7,6,6,7,6,6.4,2024-03-02 19:27:00
1027,Control,35,Female,Bachelor's Degree,9,1,2,1,3,1,1.6,2024-03-02 00:49:00
1028,Control,27,Female,Some College,8,6,5,6,6,5,5.6,2024-03-02 21:35:00
1029,Control,31,Male,Some College,7,5,7,5,6,7,6.0,2024-03-01 15:42:00
1030,Control,33,Female,Bachelor's Degree,6,5,5,4,5,4,4.6,2024-03-01 18:55:00
1031,Control,38,Female,Bachelor's Degree,9,6,5,6,6,5,5.6,2024-03-02 08:57:00
1032,Control,35,Male,Some College,7,6,6,6,6,5,5.8,2024-03-02 04:17:00
1033,Control,34,Male,Some College,7,6,3,3,5,5,4.4,2024-03-02 14:02:00
1034,Control,36,Female,Some College,9,4,6,5,4,5,4.8,2024-03-02 06:46:00
1035,Control,34,Male,Bachelor's Degree,6,5,5,5,4,4,4.6,2024-03-01 10:12:00
1036,Control,24,Male,Some College,7,5,6,5,6,5,5.4,2024-03-01 17:00:00
1037,Control,34,Male,Some College,6,5,5,4,5,5,4.8,2024-03-01 18:19:00
1038,Control,32,Male,Some College,6,7,7,6,7,6,6.6,2024-03-01 21:24:00
1039,Control,50,Female,Bachelor's Degree,6,3,2,3,3,4,3.0,2024-03-02 09:26:00
1040,Control,39,Male,Bachelor's Degree,6,5,4,3,2,5,3.8,2024-03-01 10:39:00
1041,Control,30,Female,Bachelor's Degree,10,5,4,5,4,5,4.6,2024-03-02 03:02:00
1042,Control,32,Female,Graduate Degree,9,4,4,3,5,4,4.0,2024-03-02 23:25:00
1043,Control,41,Male,Some College,8,5,5,6,4,5,5.0,2024-03-01 15:52:00
1044,Control,40,Female,Some College,4,5,6,5,6,4,5.2,2024-03-02 03:08:00
1045,Control,18,Female,High School,7,3,2,3,3,2,2.6,2024-03-02 04:37:00
1046,Control,26,Male,Some College,5,4,4,3,4,3,3.6,2024-03-02 18:28:00
1047,Control,26,Female,Graduate Degree,5,4,4,4,5,5,4.4,2024-03-02 23:33:00
1048,Control,26,Female,Some College,6,4,5,3,4,4,4.0,2024-03-01 22:40:00
1049,Control,57,Female,Some College,10,3,3,2,3,3,2.8,2024-03-01 20:01:00
1050,Control,45,Male,Some College,9,4,6,5,4,5,4.8,2024-03-01 18:19:00
1051,Early-AI-Labeled,23,Male,Some College,5,4,3,3,3,3,3.2,2024-03-02 06:11:00
1052,Early-AI-Labeled,31,Female,High School,6,4,4,5,5,4,4.4,2024-03-02 15:13:00
1053,Early-AI-Labeled,32,Male,Bachelor's Degree,9,5,4,3,3,4,3.8,2024-03-01 19:09:00
1054,Early-AI-Labeled,33,Female,Some College,6,4,4,5,4,4,4.2,2024-03-01 09:24:00
1055,Early-AI-Labeled,39,Female,Graduate Degree,6,6,4,5,6,5,5.2,2024-03-02 18:48:00
1056,Early-AI-Labeled,34,Male,Bachelor's Degree,6,5,6,5,5,5,5.2,2024-03-01 13:43:00
1057,Early-AI-Labeled,26,Female,Graduate Degree,7,7,6,5,6,5,5.8,2024-03-02 09:32:00
1058,Early-AI-Labeled,18,Female,Bachelor's Degree,5,6,5,5,5,3,4.8,2024-03-01 14:00:00
1059,Early-AI-Labeled,33,Female,High School,9,4,4,3,4,5,4.0,2024-03-02 03:11:00
1060,Early-AI-Labeled,32,Female,Bachelor's Degree,8,5,6,5,6,6,5.6,2024-03-02 02:10:00
1061,Early-AI-Labeled,40,Female,High School,6,4,4,5,5,4,4.4,2024-03-01 22:36:00
1062,Early-AI-Labeled,38,Male,Some College,10,3,3,5,5,4,4.0,2024-03-01 10:22:00
1063,Early-AI-Labeled,33,Female,Some College,5,5,5,5,4,5,4.8,2024-03-02 17:00:00
1064,Early-AI-Labeled,47,Female,Graduate Degree,10,4,4,5,3,5,4.2,2024-03-02 19:53:00
1065,Early-AI-Labeled,29,Male,Bachelor's Degree,7,3,4,4,3,3,3.4,2024-03-01 19:17:00
1066,Early-AI-Labeled,28,Female,Some College,11,4,3,5,4,5,4.2,2024-03-02 23:29:00
1067,Early-AI-Labeled,47,Female,Graduate Degree,10,4,6,5,5,5,5.0,2024-03-01 11:55:00
1068,Early-AI-Labeled,32,Female,Bachelor's Degree,7,4,4,5,5,6,4.8,2024-03-02 04:49:00
1069,Early-AI-Labeled,18,Female,Some College,10,4,4,4,4,6,4.4,2024-03-01 23:01:00
1070,Early-AI-Labeled,39,Female,Bachelor's Degree,10,5,5,6,5,6,5.4,2024-03-01 15:09:00
1071,Early-AI-Labeled,29,Male,High School,7,5,4,5,5,4,4.6,2024-03-02 15:18:00
1072,Early-AI-Labeled,34,Female,High School,5,5,4,3,3,5,4.0,2024-03-02 20:01:00
1073,Early-AI-Labeled,20,Male,Some College,11,5,5,5,5,6,5.2,2024-03-01 20:29:00
1074,Early-AI-Labeled,32,Female,Bachelor's Degree,8,4,4,6,5,5,4.8,2024-03-02 14:39:00
1075,Early-AI-Labeled,31,Female,Bachelor's Degree,8,4,5,4,6,5,4.8,2024-03-02 07:44:00
1076,Early-AI-Labeled,33,Male,Graduate Degree,9,2,3,3,4,3,3.0,2024-03-02 08:52:00
1077,Early-AI-Labeled,32,Female,Some College,6,3,3,5,3,6,4.0,2024-03-01 15:06:00
1078,Early-AI-Labeled,35,Male,Bachelor's Degree,8,4,6,4,5,4,4.6,2024-03-01 19:43:00
1079,Early-AI-Labeled,30,Male,Some College,11,5,6,6,6,4,5.4,2024-03-01 10:12:00
1080,Early-AI-Labeled,24,Male,Bachelor's Degree,7,5,5,4,5,5,4.8,2024-03-02 06:11:00
1081,Early-AI-Labeled,36,Male,High School,10,4,5,5,5,4,4.6,2024-03-01 23:19:00
1082,Early-AI-Labeled,21,Male,High School,10,5,5,5,5,4,4.8,2024-03-01 09:42:00
1083,Early-AI-Labeled,32,Female,Bachelor's Degree,7,5,6,4,5,5,5.0,2024-03-02 02:44:00
1084,Early-AI-Labeled,43,Female,Some College,8,6,5,6,5,6,5.6,2024-03-02 21:57:00
1085,Early-AI-Labeled,51,Male,High School,7,5,6,4,4,4,4.6,2024-03-02 22:39:00
1086,Early-AI-Labeled,19,Female,Bachelor's Degree,6,5,6,4,5,5,5.0,2024-03-02 10:16:00
1087,Early-AI-Labeled,30,Male,Bachelor's Degree,9,5,5,7,5,5,5.4,2024-03-02 19:46:00
1088,Early-AI-Labeled,25,Male,Bachelor's Degree,6,6,5,6,6,7,6.0,2024-03-01 15:08:00
1089,Early-AI-Labeled,32,Male,Some College,4,4,4,4,5,6,4.6,2024-03-01 11:30:00
1090,Early-AI-Labeled,29,Female,Bachelor's Degree,6,6,4,5,5,6,5.2,2024-03-02 03:54:00
1091,Early-AI-Labeled,53,Male,Bachelor's Degree,6,7,6,5,6,6,6.0,2024-03-02 10:03:00
1092,Early-AI-Labeled,38,Male,Graduate Degree,9,6,6,6,7,5,6.0,2024-03-02 09:19:00
1093,Early-AI-Labeled,34,Male,Some College,7,5,4,5,5,6,5.0,2024-03-02 02:50:00
1094,Early-AI-Labeled,28,Male,Some College,8,5,5,5,4,5,4.8,2024-03-02 02:03:00
1095,Early-AI-Labeled,40,Female,Some College,5,5,5,6,7,6,5.8,2024-03-02 11:38:00
1096,Early-AI-Labeled,26,Female,High School,11,2,4,3,3,4,3.2,2024-03-02 19:00:00
1097,Early-AI-Labeled,33,Male,Bachelor's Degree,6,5,7,5,4,5,5.2,2024-03-02 08:09:00
1098,Early-AI-Labeled,30,Male,Bachelor's Degree,8,5,4,4,4,4,4.2,2024-03-01 10:08:00
1099,Early-AI-Labeled,36,Male,Some College,8,5,5,6,5,6,5.4,2024-03-03 00:06:00
1100,Early-AI-Labeled,30,Female,Some College,5,5,5,4,5,4,4.6,2024-03-02 00:43:00
1101,Early-AI-Unlabeled,18,Male,High School,9,4,4,3,5,5,4.2,2024-03-01 22:21:00
1102,Early-AI-Unlabeled,29,Female,Some College,8,4,4,4,6,5,4.6,2024-03-03 00:03:00
1103,Early-AI-Unlabeled,26,Female,Bachelor's Degree,9,7,6,6,7,6,6.4,2024-03-02 22:30:00
1104,Early-AI-Unlabeled,38,Female,Graduate Degree,9,6,7,6,7,6,6.4,2024-03-01 10:00:00
1105,Early-AI-Unlabeled,25,Male,Bachelor's Degree,7,5,5,7,6,6,5.8,2024-03-02 00:45:00
1106,Early-AI-Unlabeled,31,Female,Graduate Degree,8,3,5,5,4,6,4.6,2024-03-02 07:17:00
1107,Early-AI-Unlabeled,20,Non-binary,Bachelor's Degree,5,6,6,5,6,5,5.6,2024-03-02 04:44:00
1108,Early-AI-Unlabeled,29,Female,Some College,9,7,6,6,6,6,6.2,2024-03-01 14:30:00
1109,Early-AI-Unlabeled,26,Male,Bachelor's Degree,6,6,5,5,5,3,4.8,2024-03-02 10:51:00
1110,Early-AI-Unlabeled,41,Female,Some College,4,4,3,4,4,4,3.8,2024-03-01 14:37:00
1111,Early-AI-Unlabeled,31,Female,Graduate Degree,5,3,4,4,3,3,3.4,2024-03-02 12:09:00
1112,Early-AI-Unlabeled,28,Male,Graduate Degree,12,6,6,6,6,6,6.0,2024-03-02 07:07:00
1113,Early-AI-Unlabeled,37,Female,Bachelor's Degree,8,5,6,4,6,6,5.4,2024-03-02 10:26:00
1114,Early-AI-Unlabeled,39,Female,Graduate Degree,3,5,6,5,5,7,5.6,2024-03-02 12:53:00
1115,Early-AI-Unlabeled,29,Male,Graduate Degree,8,5,7,5,5,6,5.6,2024-03-02 07:41:00
1116,Early-AI-Unlabeled,40,Female,Graduate Degree,10,5,6,6,6,7,6.0,2024-03-02 11:13:00
1117,Early-AI-Unlabeled,33,Male,Graduate Degree,8,5,5,4,5,5,4.8,2024-03-01 13:34:00
1118,Early-AI-Unlabeled,28,Male,Bachelor's Degree,10,5,4,4,6,4,4.6,2024-03-02 04:47:00
1119,Early-AI-Unlabeled,22,Female,Some College,3,7,6,7,7,6,6.6,2024-03-03 00:26:00
1120,Early-AI-Unlabeled,18,Female,Bachelor's Degree,12,2,4,5,5,4,4.0,2024-03-02 18:13:00
1121,Early-AI-Unlabeled,36,Male,Bachelor's Degree,9,6,6,5,5,5,5.4,2024-03-01 23:29:00
