participant_id,condition,novelty_rating,usefulness_rating,originality_rating,creativity_score,semantic_distance,word_count,response_time_minutes,timestamp,creativity_change
1000,Control,3,5,6,4.666666666666667,0.85,27,5,2024/3/2 19:46,-0.333333333
1001,Control,3,6,4,4.333333333333333,0.872,18,7.1,2024/3/3 0:51,0.33333333333333304
1002,Control,6,4,5,5,0.907,35,3.6,2024/3/1 17:59,0.33333333333333304
1003,Control,5,5,5,5,0.826,34,5.5,2024/3/2 7:50,0.33333333333333304
1004,Control,5,4,6,5,0.84,35,5.4,2024/3/2 9:17,0
1005,Control,4,5,4,4.333333333333333,0.868,29,5.3,2024/3/2 7:43,0
1006,Control,5,6,4,5,0.762,25,5.2,2024/3/1 20:42,0.33333333333333304
1007,Control,5,5,5,5,0.823,17,6,2024/3/2 18:30,0
1008,Control,3,6,5,4.666666666666667,0.798,36,4.8,2024/3/2 10:13,0.3333333333333339
1009,Control,4,4,6,4.666666666666667,0.785,30,6.5,2024/3/1 16:26,0.3333333333333339
1010,Control,5,5,3,4.333333333333333,0.835,29,5.7,2024/3/2 18:10,-0.333333333
1011,Control,6,5,4,5,0.665,16,6.1,2024/3/2 13:54,0
1012,Control,5,5,7,5.666666666666667,0.707,20,5.5,2024/3/1 22:19,0.666666666666667
1013,Control,5,5,6,5.333333333333333,0.84,32,6,2024/3/2 21:07,0.33333333333333304
1014,Control,5,4,6,5,0.861,48,6.3,2024/3/2 15:48,0.33333333333333304
1015,Control,7,6,5,6,0.713,24,7.2,2024/3/1 12:49,0.33333333333333304
1016,Control,6,5,4,5,0.826,24,5.3,2024/3/2 10:59,0
1017,Control,5,5,5,5,0.919,40,5.9,2024/3/2 13:01,-0.333333333
1018,Control,5,4,5,4.666666666666667,0.681,35,6,2024/3/2 22:15,0
1019,Control,5,6,5,5.333333333333333,0.82,36,5.6,2024/3/1 9:43,0.33333333333333304
1020,Control,5,5,5,5,0.773,31,7.7,2024/3/1 11:55,0
1021,Control,5,6,4,5,0.93,30,5.9,2024/3/2 18:04,0.666666666666667
1022,Control,6,4,4,4.666666666666667,0.742,25,6.3,2024/3/1 13:00,0.666666666666667
1023,Control,4,7,5,5.333333333333333,0.955,24,7.7,2024/3/1 20:30,0
1024,Control,5,5,7,5.666666666666667,0.798,38,7,2024/3/2 10:40,0.666666666666667
1025,Control,6,4,4,4.666666666666667,0.748,33,6,2024/3/2 23:19,0.3333333333333339
1026,Control,5,5,5,5,0.955,28,5.5,2024/3/2 19:49,0.33333333333333304
1027,Control,5,4,7,5.333333333333333,0.932,37,6.2,2024/3/2 1:11,0.33333333333333304
1028,Control,6,5,3,4.666666666666667,0.898,29,5.9,2024/3/2 21:57,0.3333333333333339
1029,Control,6,5,5,5.333333333333333,0.805,24,4.9,2024/3/1 16:04,0.6666666666666661
1030,Control,6,4,4,4.666666666666667,0.894,30,7.5,2024/3/1 19:17,0
1031,Control,4,4,5,4.333333333333333,1,12,5.2,2024/3/2 9:19,-0.333333333
1032,Control,5,5,6,5.333333333333333,1,11,5,2024/3/2 4:39,0
1033,Control,6,5,4,5,0.79,37,6.5,2024/3/2 14:24,0
1034,Control,6,4,6,5.333333333333333,0.773,43,6.4,2024/3/2 7:08,0.33333333333333304
1035,Control,5,5,5,5,0.785,22,6.5,2024/3/1 10:34,-0.333333333
1036,Control,6,4,4,4.666666666666667,0.857,23,5.4,2024/3/1 17:22,0
1037,Control,6,4,5,5,0.833,23,8,2024/3/1 18:41,0.33333333333333304
1038,Control,5,5,3,4.333333333333333,0.901,25,6.7,2024/3/1 21:46,-0.333333333
1039,Control,5,5,3,4.333333333333333,0.824,28,7,2024/3/2 9:48,-0.333333333
1040,Control,4,5,5,4.666666666666667,0.878,34,4.3,2024/3/1 11:01,-0.333333333
1041,Control,5,4,4,4.333333333333333,0.912,33,5.4,2024/3/2 3:24,-0.333333333
1042,Control,5,3,6,4.666666666666667,0.849,26,6.9,2024/3/2 23:47,0
1043,Control,3,6,4,4.333333333333333,0.703,27,3.9,2024/3/1 16:14,0
